,sr87_sr86,nd143_nd144
5649,0.70392,0.512824
5650,0.70393,0.512784
5651,0.70388,0.512827
5652,0.70391,0.51282
5653,0.704,0.512823
5654,0.70397,0.512812
5655,0.703837,0.512873
5657,0.70374,0.512824
5658,0.70373,0.512839
5662,0.70371,0.512852
5664,0.704195,0.512758
5665,0.70397,0.512811
5666,0.70396,0.512828
5679,0.703982,0.512886
5692,0.70393,0.51289
5706,0.70425,0.512837
5707,0.704167,0.512794
5708,0.704232,0.512817
5709,0.70425,0.512808
5710,0.703918,0.512813
5717,0.704312,0.512771
5718,0.704144,0.512787
5719,0.703932,0.512807
5720,0.704163,0.512784
5721,0.703802782,0.512869405
5724,0.704335,0.512796
5727,0.70431,0.51284
5737,0.70433,0.512809
5744,0.704045852,0.512749455
5745,0.704049592,0.512752135
5752,0.704145,0.512847
5758,0.70364,0.512868
5759,0.70345,0.512931
5764,0.70391,0.512815
5765,0.706949,0.512787
5766,0.705979,0.512859
5771,0.704,0.51265
5777,0.703912,0.512796
5778,0.70361,0.512867
5798,0.70397,0.512872
5799,0.70398,0.512879
5801,0.70381,0.512861
5802,0.70401,0.512818
5803,0.70378,0.512881
5804,0.70406,0.512848
5807,0.70416,0.512855
5811,0.704021,0.512762
5812,0.704001,0.512765
5813,0.703995,0.51277
5835,0.70388,0.512835
5836,0.703963,0.512821
5837,0.704005,0.512814
5840,0.70372,0.512902
5842,0.703935,0.512848
5843,0.70395,0.51291
5846,0.70396,0.512909
5857,0.704161052,0.512713715
5893,0.704286,0.512798
5899,0.704172,0.512807
5913,0.704022,0.512894
5914,0.703932,0.512862
5920,0.70403,0.512881
5923,0.7037598,0.512794
5924,0.7038758,0.512808
5925,0.7036819,0.512827
5926,0.7040034,0.512782
5930,0.70395,0.51277
5932,0.70729,0.512814
5938,0.704161,0.512759
5939,0.704106,0.512742
5940,0.70415,0.51274
5941,0.704116,0.5127182
5942,0.703919,0.51282
5943,0.704158,0.512743
5944,0.703895,0.512795
5945,0.703975,0.51282
5946,0.704162,0.512724
5947,0.704126,0.512751
5948,0.704182,0.512748
5949,0.7050659,0.512666
5950,0.7117943,0.512676
5951,0.7078,0.512708
5955,0.704038,0.512736
5961,0.7052,0.512345
5964,0.703465,0.512808
5967,0.70406,0.5128
5972,0.70398,0.51282
5974,0.706708,0.512847
5999,0.70357,0.512836
6000,0.70343,0.512784
6003,0.703336,0.512826
6004,0.703379,0.512812
6016,0.705477,0.512338
6017,0.707987,0.512316
6018,0.704149,0.512412
6022,0.7041139,0.512418
6023,0.7041603,0.512435
6024,0.7056752,0.512583
6025,0.7053247,0.512554
6026,0.7050407,0.512584
6027,0.7040324,0.512818
6028,0.704698,0.512806
6029,0.7040388,0.512759
6030,0.7049678,0.512539
6031,0.7039856,0.5128
6032,0.7037988,0.512753
6033,0.7041757,0.512437
6034,0.7104422,0.512604
6035,0.70753,0.512625
6036,0.70484,0.512735
6037,0.70829,0.512716
6039,0.70756,0.512752
6040,0.704542,0.512812
6043,0.705351,0.512781
6046,0.703473,0.512831
6048,0.706211,0.512793
6049,0.70393,0.512785
6051,0.7034473,0.512822
6052,0.7100999,0.512717
6053,0.7040919,0.512486
6061,0.704199,0.51267175
6093,0.703,0.512125
6094,0.70258,0.51227
6095,0.70432,0.512288
6096,0.70665,0.512872
6097,0.709663,0.512899
6098,0.71229,0.512835
6099,0.708155,0.512281
6100,0.739841,0.512945
6101,0.70702,0.512849
6102,0.7025,0.512344
6108,0.70649,0.5127
6198,0.706485,0.512568
6201,0.70505,0.51275
6202,0.70509,0.5127
6203,0.71513,0.51272
6204,0.70514,0.51272
6205,0.705238,0.512685
6207,0.706664,0.512553
6243,0.7066883,0.512359
6249,0.706663,0.512377
6250,0.7067876,0.5123499
6251,0.7066555,0.512356
6253,0.7068135,0.5123418
6281,0.707729,0.512458
6328,0.707106,0.512499
6366,0.706,0.513
6379,0.705786,0.512636
6380,0.706981,0.512361
6382,0.706779,0.51236
6386,0.706604,0.512374
6388,0.706534,0.512373
6392,0.706979,0.512348
6393,0.706973,0.512341
6398,0.71047,0.51213
6426,0.710176,0.5121
6436,0.706875,0.512357
6440,0.71035,0.51213
6441,0.71033,0.51214
6444,0.71003,0.51209
6445,0.70879,0.51216
6453,0.710371,0.512155
6454,0.710084,0.512165
6455,0.710371,0.512162
6464,0.710203,0.512206
6479,0.708185,0.512214
6480,0.70653,0.512766667
6484,0.70819,0.51226
6487,0.709603,0.512391
6499,0.70774,0.51223
6501,0.709604,0.512134
6503,0.71112,0.512095
